date_key,date,year,quarter,month,month_name,week_of_year,day,day_name,day_of_week,is_weekend
20201023,2020-10-23,2020,4,10,October,43,23,Friday,6,false
20201024,2020-10-24,2020,4,10,October,43,24,Saturday,7,true
20201025,2020-10-25,2020,4,10,October,43,25,Sunday,1,true
20201026,2020-10-26,2020,4,10,October,44,26,Monday,2,false
20201027,2020-10-27,2020,4,10,October,44,27,Tuesday,3,false
20201028,2020-10-28,2020,4,10,October,44,28,Wednesday,4,false
20201029,2020-10-29,2020,4,10,October,44,29,Thursday,5,false
20201030,2020-10-30,2020,4,10,October,44,30,Friday,6,false
20201031,2020-10-31,2020,4,10,October,44,31,Saturday,7,true
20201101,2020-11-01,2020,4,11,November,44,1,Sunday,1,true
20201102,2020-11-02,2020,4,11,November,45,2,Monday,2,false
20201103,2020-11-03,2020,4,11,November,45,3,Tuesday,3,false
20201104,2020-11-04,2020,4,11,November,45,4,Wednesday,4,false
20201105,2020-11-05,2020,4,11,November,45,5,Thursday,5,false
20201106,2020-11-06,2020,4,11,November,45,6,Friday,6,false
20201107,2020-11-07,2020,4,11,November,45,7,Saturday,7,true
20201108,2020-11-08,2020,4,11,November,45,8,Sunday,1,true
20201109,2020-11-09,2020,4,11,November,46,9,Monday,2,false
20201110,2020-11-10,2020,4,11,November,46,10,Tuesday,3,false
20201111,2020-11-11,2020,4,11,November,46,11,Wednesday,4,false
20201112,2020-11-12,2020,4,11,November,46,12,Thursday,5,false
20201113,2020-11-13,2020,4,11,November,46,13,Friday,6,false
20201114,2020-11-14,2020,4,11,November,46,14,Saturday,7,true
20201115,2020-11-15,2020,4,11,November,46,15,Sunday,1,true
20201116,2020-11-16,2020,4,11,November,47,16,Monday,2,false
20201117,2020-11-17,2020,4,11,November,47,17,Tuesday,3,false
20201118,2020-11-18,2020,4,11,November,47,18,Wednesday,4,false
20201119,2020-11-19,2020,4,11,November,47,19,Thursday,5,false
20201120,2020-11-20,2020,4,11,November,47,20,Friday,6,false
20201121,2020-11-21,2020,4,11,November,47,21,Saturday,7,true
20201122,2020-11-22,2020,4,11,November,47,22,Sunday,1,true
20201123,2020-11-23,2020,4,11,November,48,23,Monday,2,false
20201124,2020-11-24,2020,4,11,November,48,24,Tuesday,3,false
20201125,2020-11-25,2020,4,11,November,48,25,Wednesday,4,false
20201126,2020-11-26,2020,4,11,November,48,26,Thursday,5,false
20201127,2020-11-27,2020,4,11,November,48,27,Friday,6,false
20201128,2020-11-28,2020,4,11,November,48,28,Saturday,7,true
20201129,2020-11-29,2020,4,11,November,48,29,Sunday,1,true
20201130,2020-11-30,2020,4,11,November,49,30,Monday,2,false
20201201,2020-12-01,2020,4,12,December,49,1,Tuesday,3,false
20201202,2020-12-02,2020,4,12,December,49,2,Wednesday,4,false
20201203,2020-12-03,2020,4,12,December,49,3,Thursday,5,false
20201204,2020-12-04,2020,4,12,December,49,4,Friday,6,false
20201205,2020-12-05,2020,4,12,December,49,5,Saturday,7,true
20201206,2020-12-06,2020,4,12,December,49,6,Sunday,1,true
20201207,2020-12-07,2020,4,12,December,50,7,Monday,2,false
20201208,2020-12-08,2020,4,12,December,50,8,Tuesday,3,false
20201209,2020-12-09,2020,4,12,December,50,9,Wednesday,4,false
20201210,2020-12-10,2020,4,12,December,50,10,Thursday,5,false
20201211,2020-12-11,2020,4,12,December,50,11,Friday,6,false
20201212,2020-12-12,2020,4,12,December,50,12,Saturday,7,true
20201213,2020-12-13,2020,4,12,December,50,13,Sunday,1,true
20201214,2020-12-14,2020,4,12,December,51,14,Monday,2,false
20201215,2020-12-15,2020,4,12,December,51,15,Tuesday,3,false
20201216,2020-12-16,2020,4,12,December,51,16,Wednesday,4,false
20201217,2020-12-17,2020,4,12,December,51,17,Thursday,5,false
20201218,2020-12-18,2020,4,12,December,51,18,Friday,6,false
20201219,2020-12-19,2020,4,12,December,51,19,Saturday,7,true
20201220,2020-12-20,2020,4,12,December,51,20,Sunday,1,true
20201221,2020-12-21,2020,4,12,December,52,21,Monday,2,false
20201222,2020-12-22,2020,4,12,December,52,22,Tuesday,3,false
20201223,2020-12-23,2020,4,12,December,52,23,Wednesday,4,false
20201224,2020-12-24,2020,4,12,December,52,24,Thursday,5,false
20201225,2020-12-25,2020,4,12,December,52,25,Friday,6,false
20201226,2020-12-26,2020,4,12,December,52,26,Saturday,7,true
20201227,2020-12-27,2020,4,12,December,52,27,Sunday,1,true
20201228,2020-12-28,2020,4,12,December,53,28,Monday,2,false
20201229,2020-12-29,2020,4,12,December,53,29,Tuesday,3,false
20201230,2020-12-30,2020,4,12,December,53,30,Wednesday,4,false
20201231,2020-12-31,2020,4,12,December,53,31,Thursday,5,false
20210101,2021-01-01,2021,1,1,January,53,1,Friday,6,false
20210102,2021-01-02,2021,1,1,January,53,2,Saturday,7,true
20210103,2021-01-03,2021,1,1,January,53,3,Sunday,1,true
20210104,2021-01-04,2021,1,1,January,1,4,Monday,2,false
20210105,2021-01-05,2021,1,1,January,1,5,Tuesday,3,false
20210106,2021-01-06,2021,1,1,January,1,6,Wednesday,4,false
20210107,2021-01-07,2021,1,1,January,1,7,Thursday,5,false
20210108,2021-01-08,2021,1,1,January,1,8,Friday,6,false
20210109,2021-01-09,2021,1,1,January,1,9,Saturday,7,true
20210110,2021-01-10,2021,1,1,January,1,10,Sunday,1,true
20210111,2021-01-11,2021,1,1,January,2,11,Monday,2,false
20210112,2021-01-12,2021,1,1,January,2,12,Tuesday,3,false
20210113,2021-01-13,2021,1,1,January,2,13,Wednesday,4,false
20210114,2021-01-14,2021,1,1,January,2,14,Thursday,5,false
20210115,2021-01-15,2021,1,1,January,2,15,Friday,6,false
20210116,2021-01-16,2021,1,1,January,2,16,Saturday,7,true
20210117,2021-01-17,2021,1,1,January,2,17,Sunday,1,true
20210118,2021-01-18,2021,1,1,January,3,18,Monday,2,false
20210119,2021-01-19,2021,1,1,January,3,19,Tuesday,3,false
20210120,2021-01-20,2021,1,1,January,3,20,Wednesday,4,false
20210121,2021-01-21,2021,1,1,January,3,21,Thursday,5,false
20210122,2021-01-22,2021,1,1,January,3,22,Friday,6,false
20210123,2021-01-23,2021,1,1,January,3,23,Saturday,7,true
20210124,2021-01-24,2021,1,1,January,3,24,Sunday,1,true
20210125,2021-01-25,2021,1,1,January,4,25,Monday,2,false
20210126,2021-01-26,2021,1,1,January,4,26,Tuesday,3,false
20210127,2021-01-27,2021,1,1,January,4,27,Wednesday,4,false
20210128,2021-01-28,2021,1,1,January,4,28,Thursday,5,false
20210129,2021-01-29,2021,1,1,January,4,29,Friday,6,false
20210130,2021-01-30,2021,1,1,January,4,30,Saturday,7,true
20210131,2021-01-31,2021,1,1,January,4,31,Sunday,1,true
20210201,2021-02-01,2021,1,2,February,5,1,Monday,2,false
20210202,2021-02-02,2021,1,2,February,5,2,Tuesday,3,false
20210203,2021-02-03,2021,1,2,February,5,3,Wednesday,4,false
20210204,2021-02-04,2021,1,2,February,5,4,Thursday,5,false
20210205,2021-02-05,2021,1,2,February,5,5,Friday,6,false
20210206,2021-02-06,2021,1,2,February,5,6,Saturday,7,true
20210207,2021-02-07,2021,1,2,February,5,7,Sunday,1,true
20210208,2021-02-08,2021,1,2,February,6,8,Monday,2,false
20210209,2021-02-09,2021,1,2,February,6,9,Tuesday,3,false
